zone,neighborhood,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
RMH,Altamont,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1
RL,Cordes,,,,,,,,,,,,,,,,1,,1,,1,,,1,
RL,Costa,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,18,17,18,17,18,12
RM,Costa,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,25,18
RMH,Costa,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,5
RH,Costa,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,15,10
RL,Hansen,,,,,,,1,,1,,1,,1,,,1,,1,,,1,,1,
RH,Hansen,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,3
RL,Pombo,78,78,78,79,78,79,78,79,78,79,78,79,78,79,78,78,79,78,79,78,79,78,78,56
RM,Pombo,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,59,42
RMH,Pombo,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,35,36,35,25
RH,Pombo,29,29,29,29,29,29,29,28,29,28,29,28,29,28,29,28,29,28,28,29,28,29,28,20
RL,Questa,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,3
RMH,Questa,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,15,14,15,14,14,15,10
RM,Wicklund,11,11,11,10,11,10,10,11,10,11,10,11,10,11,10,11,10,10,11,10,11,10,11,7
