zone,neighborhood,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
RMH,Altamont,4,4,4,3,3,4,3,4,3,4,3,3
RL,Cordes,,,,,1,,1,,1,,1,
RL,Costa,34,34,34,34,34,35,35,34,35,34,35,29
RM,Costa,52,52,52,52,52,52,51,52,51,52,51,44
RMH,Costa,12,12,12,12,12,12,12,12,12,13,12,11
RH,Costa,28,28,28,28,28,28,28,28,29,28,29,24
RL,Hansen,1,1,1,1,1,,1,,1,,1,
RH,Hansen,9,9,9,9,9,9,9,9,9,9,9,8
RL,Pombo,157,157,157,157,157,157,157,157,157,156,156,134
RM,Pombo,118,118,118,118,118,118,118,118,118,118,119,101
RMH,Pombo,72,72,72,72,72,72,71,72,71,72,71,61
RH,Pombo,57,57,57,57,57,57,57,58,57,58,57,49
RL,Questa,7,7,7,7,7,7,7,7,6,7,6,6
RMH,Questa,28,28,28,29,28,28,29,28,29,28,29,24
RM,Wicklund,21,21,21,21,21,21,21,21,21,21,21,18
