Grade,Aug '16,May '17,Aug '17,May '18,Aug '18,May '19,Aug '19,May '20,Aug '20,May '21,Aug '21,May '22,Aug '22,May '23,Aug '23,May '24,Aug '24,May '25,Aug '25,Mar '26*
TK,102,114,86,104,80,95,109,122,102,78,105,119,140,144,220,229,242,247,315,336
K,343,384,375,394,406,439,400,435,430,439,496,520,478,504,437,447,443,476,384,399
1st,372,385,372,422,426,449,450,485,479,474,492,520,535,551,516,515,460,466,505,523
2nd,337,388,398,409,432,450,468,498,524,518,521,535,529,548,565,586,525,547,486,508
3rd,385,401,384,399,428,460,471,496,511,507,553,591,547,545,544,559,575,576,553,572
4th,385,407,412,417,429,445,479,502,512,520,556,589,605,632,561,569,564,589,584,609
5th,370,387,423,439,443,465,456,481,536,524,576,598,608,620,623,634,589,607,603,615
6th,371,389,403,395,471,492,485,493,511,510,571,602,604,632,636,654,645,649,612,631
7th,348,354,394,392,408,412,514,527,524,527,523,530,595,614,640,659,658,666,673,685
8th,321,339,371,374,410,429,432,442,544,536,561,567,550,568,617,625,672,687,673,687
9th,341,332,354,330,407,390,453,463,483,465,601,578,619,613,592,600,637,641,710,708
10th,299,290,331,326,346,348,408,411,478,481,479,478,584,576,615,620,601,592,655,651
11th,269,261,295,280,335,334,349,352,417,408,483,480,485,480,580,583,607,616,586,584
12th,205,200,257,255,282,280,343,332,348,346,418,410,475,465,480,483,583,577,613,612
Sp. Ed.,34,30,32,32,46,40,45,50,55,54,59,64,72,77,82,91,93,97,104,99
